,budget,genres,popularity,production_companies,production_countries,revenue,runtime,spoken_languages,crew,cast,keywords,month,day,market_share_genres,people_vaccinated,people_fully_vaccinated,total_boosters,New_cases,New_deaths
0,74051255.63425629,0,11.773,1724,70,744134780.9170381,137.0,36,790,313,147,5,29,0.1417612903883289,0.0,0.0,0.0,0.0,0.0
1,29620502.253702518,1,13.786,1071,70,38506652.92981327,144.0,19,280,434,504,1,1,0.0807763616382203,0.0,0.0,0.0,0.0,0.0
2,22215376.690276887,1,25.768,45,70,140695297.45967805,95.0,19,2304,887,796,4,23,0.0807763616382203,0.0,0.0,0.0,0.0,0.0
3,74051255.63425629,1,7.547,1837,69,11107688.345138444,125.0,27,247,1843,681,10,29,0.0807763616382203,0.0,0.0,0.0,0.0,0.0
4,111076883.45138444,1,8.597,406,70,233702445.28546044,139.0,19,174,591,104,12,14,0.0807763616382203,0.0,0.0,0.0,0.0,0.0
5,29620502.253702518,2,67.21,2179,70,412282268.86099166,78.0,19,2473,1721,872,12,24,0.0785417748730093,0.0,0.0,0.0,0.0,0.0
6,25917939.471989702,3,11.719,158,70,604258245.9755313,116.0,19,1974,575,38,2,18,0.1828283257595382,0.0,0.0,0.0,0.0,0.0
7,27524451.84247264,3,8.93,2184,70,37025627.817128144,121.0,19,2086,934,949,5,13,0.1828283257595382,0.0,0.0,0.0,0.0,0.0
8,37025627.817128144,3,3.351,8,70,22215376.690276887,94.0,19,1584,1774,672,6,24,0.1828283257595382,0.0,0.0,0.0,0.0,0.0
9,15476712.427559564,3,8.636,8,70,296205022.53702515,109.0,19,2058,564,918,7,17,0.1828283257595382,0.0,0.0,0.0,0.0,0.0
10,4443075.338055377,5,10.217,2173,70,255514672.12981328,225.0,19,1592,1812,545,3,26,0.0486767861994498,0.0,0.0,0.0,0.0,0.0
11,188719624.98390216,6,12.843,8,33,275100414.68126214,144.0,19,1927,1428,628,1,26,0.0905243616825505,0.0,0.0,0.0,0.0,0.0
12,81456381.19768192,6,7.413,1958,70,16291276.239536384,120.0,19,1502,1959,104,2,8,0.0905243616825505,0.0,0.0,0.0,0.0,0.0
13,51835878.943979405,6,7.859,1301,70,7405125.5634256285,113.0,19,1597,1418,180,2,9,0.0905243616825505,0.0,0.0,0.0,0.0,0.0
14,259179394.719897,6,4.389,352,59,33323065.03541533,102.0,19,1108,1007,504,6,19,0.0905243616825505,0.0,0.0,0.0,0.0,0.0
15,784943.3097231167,6,3.545,337,70,143061501.66171283,107.0,27,1105,1706,1245,7,15,0.0905243616825505,0.0,0.0,0.0,0.0,0.0
16,185128139.08564076,9,11.397,1518,32,22600443.219575018,134.0,19,2133,1854,803,10,26,0.0043054942146459,0.0,0.0,0.0,0.0,0.0
17,473928.0360592402,10,5.703,665,70,51835878.943979405,93.0,19,258,1839,200,6,10,0.0098749867308392,0.0,0.0,0.0,0.0,0.0
18,16291276.239536384,13,10.462,1518,70,1010059126.8512558,99.0,19,173,67,104,12,16,0.1924211700123535,0.0,0.0,0.0,0.0,0.0
19,88861506.76110755,17,13.992,8,70,664980275.5956215,172.0,19,730,723,492,1,25,0.1618251741603445,0.0,0.0,0.0,0.0,0.0
20,133292260.14166132,17,10.98,1518,70,184474044.34462333,121.0,19,1620,40,104,6,24,0.1618251741603445,0.0,0.0,0.0,0.0,0.0
21,29620502.253702518,18,9.113,223,40,44430753.380553775,111.0,19,122,1068,126,7,23,0.0084642743407193,0.0,0.0,0.0,0.0,0.0
22,9230422.72072443,0,9.159,494,70,513114271.4194032,99.0,19,1921,206,1028,1,15,0.3588750375702009,0.0,0.0,0.0,0.0,0.0
23,1065048.7754682037,0,5.658,2254,70,107924942.58077794,97.0,19,1535,2004,738,4,23,0.3588750375702009,0.0,0.0,0.0,0.0,0.0
24,17750812.924470056,0,18.979,45,70,87681240.99082115,98.0,19,615,1855,1114,5,20,0.3588750375702009,0.0,0.0,0.0,0.0,0.0
25,28401300.67915209,0,12.958,1805,70,86067429.38395555,100.0,19,811,1809,824,6,25,0.3588750375702009,0.0,0.0,0.0,0.0,0.0
26,28401300.67915209,0,17.593,2184,70,255441298.3082939,102.0,56,614,434,36,7,14,0.3588750375702009,0.0,0.0,0.0,0.0,0.0
27,1775081.2924470056,0,10.842,2040,33,19656540.20004116,85.0,37,2491,33,628,7,24,0.3588750375702009,0.0,0.0,0.0,0.0,0.0
28,12780585.30561844,0,15.471,498,70,292240558.28428894,104.0,19,2462,720,824,10,9,0.3588750375702009,0.0,0.0,0.0,0.0,0.0
29,142006503.39576045,1,15.478,2179,70,127095820.5392056,117.0,19,2004,129,456,10,7,0.2505232796514554,0.0,0.0,0.0,0.0,0.0
30,51122341.22247376,1,19.485,2107,69,823776509.7515044,120.0,19,833,1959,1125,12,13,0.2505232796514554,0.0,0.0,0.0,0.0,0.0
31,14200650.339576043,3,9.194,1019,70,84023089.56041984,82.0,19,2475,2269,995,4,28,0.0221503885110652,0.0,0.0,0.0,0.0,0.0
32,710032.5169788023,3,10.599,447,69,49702.27618851616,88.0,19,891,752,138,9,28,0.0221503885110652,0.0,0.0,0.0,0.0,0.0
33,15620715.37353365,4,10.614,39,69,23088794.78516567,116.0,19,2086,591,386,12,23,0.0060831306249185,0.0,0.0,0.0,0.0,0.0
34,461521.1360362215,6,1.738,69,70,35501625.84894011,87.0,19,56,48,407,1,1,0.2517725012251774,0.0,0.0,0.0,0.0,0.0
35,106504.87754682034,6,0.6,1626,48,142006.50339576046,128.0,19,2150,10,470,2,7,0.2517725012251774,0.0,0.0,0.0,0.0,0.0
36,48992243.67153736,6,4.336,39,61,46365123.35871579,115.0,58,900,625,689,7,14,0.2517725012251774,0.0,0.0,0.0,0.0,0.0
37,9230422.72072443,6,9.385,196,70,206853773.1714345,119.0,19,1798,2142,104,10,3,0.2517725012251774,0.0,0.0,0.0,0.0,0.0
38,5147735.748096316,6,10.843,2113,70,75263446.79975304,102.0,19,412,434,339,11,3,0.2517725012251774,0.0,0.0,0.0,0.0,0.0
39,63902926.528092206,6,13.553,2107,70,591487831.0513275,181.0,29,1716,358,1215,11,3,0.2517725012251774,0.0,0.0,0.0,0.0,0.0
40,21300975.50936407,7,44.82,525,70,28401300.67915209,100.0,23,1534,721,227,6,29,0.0074827994945787,0.0,0.0,0.0,0.0,0.0
41,7100325.169788023,10,9.431,1118,22,8554038.644725252,112.0,36,484,887,7,2,12,0.0022537050950748,0.0,0.0,0.0,0.0,0.0
42,17750812.924470056,12,9.701,874,70,88843791.4315209,114.0,19,42,907,824,6,23,0.0234073884548619,0.0,0.0,0.0,0.0,0.0
43,5516952.656925294,14,9.863,104,70,17303492.438773412,86.0,19,781,1832,939,3,11,0.0774517693726667,0.0,0.0,0.0,0.0,0.0
44,46152113.60362215,14,10.983,2113,70,87877621.78436716,131.0,19,2009,177,805,3,12,0.0774517693726667,0.0,0.0,0.0,0.0,0.0
45,15620715.37353365,14,40.84,2184,69,188790545.93949372,137.0,19,2195,1385,682,12,19,0.0774517693726667,0.0,0.0,0.0,0.0,0.0
46,3437672.379434037,0,2.806,1722,70,34376723.79434038,87.0,19,317,315,93,1,1,0.2630798716056715,0.0,0.0,0.0,0.0,0.0
47,893794.8186528498,0,16.636,1463,24,185634308.48943803,100.0,11,300,302,626,6,1,0.2630798716056715,0.0,0.0,0.0,0.0,0.0
48,13599431.933041053,0,5.66,1805,70,68753447.58868076,104.0,19,811,1809,147,6,8,0.2630798716056715,0.0,0.0,0.0,0.0,0.0
49,11688086.090075728,0,15.143,45,70,66690844.16102033,88.0,19,916,1855,236,6,29,0.2630798716056715,0.0,0.0,0.0,0.0,0.0
50,23047901.96929454,0,11.719,761,70,252563170.2106656,123.0,19,2086,2049,1002,9,20,0.2630798716056715,0.0,0.0,0.0,0.0,0.0
51,34376723.79434038,0,17.005,1074,70,581400590.1348426,117.0,19,2042,720,842,12,13,0.2630798716056715,0.0,0.0,0.0,0.0,0.0
52,2543877.560781188,1,8.523,2199,22,254669.6452132324,95.0,56,2447,1243,504,12,29,5.632872252048984e-05,0.0,0.0,0.0,0.0,0.0
53,5844043.045037864,2,11.049,414,70,171883618.9717019,78.0,19,1882,2010,824,4,12,0.0380178197946126,0.0,0.0,0.0,0.0,0.0
54,27501379.0354723,3,10.683,1775,70,453772754.08529294,94.0,19,1798,203,1028,3,9,0.1370446948453844,0.0,0.0,0.0,0.0,0.0
55,82504.1371064169,3,11.465,607,70,41252068.55320845,92.0,19,1155,562,1216,3,12,0.1370446948453844,0.0,0.0,0.0,0.0,0.0
56,1031301.7138302112,3,4.804,1018,70,704262.1896851335,87.0,19,1347,1845,1285,6,21,0.1370446948453844,0.0,0.0,0.0,0.0,0.0
57,13750689.51773615,3,13.129,2107,70,123868205.02574731,88.0,19,2475,2269,1224,8,6,0.1370446948453844,0.0,0.0,0.0,0.0,0.0
58,2818891.351135911,4,3.248,1447,22,687.5344758868075,101.0,27,2469,176,1123,2,19,0.0191611332477639,0.0,0.0,0.0,0.0,0.0
59,24063706.656038266,4,11.823,2113,69,86629343.96173775,116.0,19,82,1072,682,4,14,0.0191611332477639,0.0,0.0,0.0,0.0,0.0
60,41252068.55320845,6,82.465,1518,70,1684916064.4434595,175.0,19,716,1426,626,3,14,0.497779124426404,0.0,0.0,0.0,0.0,0.0
