,budget,popularity,revenue,runtime,market_share_genres,promedio_revenue_month,promedio_revenue_cast,promedio_revenue_crew,promedio_revenue_production_companies
0,74051255.63425629,11.773,744134780.9170381,137.0,0.1417612903883289,203966349.12633517,281610309.85961586,744134780.9170381,744134780.9170381
1,29620502.25370252,13.786,38506652.92981327,144.0,0.0807763616382203,75051078.40614595,159200960.7812402,38506652.92981327,38506652.92981327
2,22215376.690276887,25.768,140695297.45967805,95.0,0.0807763616382203,106972830.34683679,74624668.05220166,140695297.45967805,98355794.20383984
3,74051255.63425629,7.547,11107688.345138444,125.0,0.0807763616382203,87242419.5314648,11107688.345138444,11107688.345138444,11107688.345138444
4,111076883.45138444,8.597,233702445.28546044,139.0,0.0807763616382203,182565449.76427466,337124131.77650523,233702445.28546044,233702445.28546044
5,29620502.25370252,67.21,412282268.86099166,78.0,0.0785417748730093,182565449.76427466,412282268.86099166,319226770.3534842,188892286.61772963
6,25917939.471989702,11.719,604258245.9755313,116.0,0.1828283257595382,92037411.31436121,189845399.24894804,88265509.75402533,604258245.9755313
7,27524451.84247264,8.93,37025627.817128144,121.0,0.1828283257595382,203966349.12633517,25924608.3371997,116447068.15817623,304200174.6119193
8,37025627.817128144,3.351,22215376.690276887,94.0,0.1828283257595382,232559979.0270753,22215376.690276887,22215376.690276887,230629948.2552576
9,15476712.427559564,8.636,296205022.53702515,109.0,0.1828283257595382,185691009.3341934,296205022.53702515,296205022.53702515,230629948.2552576
10,4443075.338055377,10.217,255514672.12981328,225.0,0.0486767861994498,118736550.8626721,255514672.12981328,144558138.61865973,255514672.12981328
11,188719624.98390216,12.843,275100414.68126214,144.0,0.0905243616825505,75051078.40614595,275100414.68126214,126527865.043324,230629948.2552576
12,81456381.19768192,7.413,16291276.239536384,120.0,0.0905243616825505,92037411.31436121,259039468.33908033,49914026.91427275,16291276.239536384
13,51835878.943979405,7.859,7405125.5634256285,113.0,0.0905243616825505,92037411.31436121,7405125.5634256285,7405125.5634256285,62094703.41011527
14,259179394.719897,4.389,33323065.03541533,102.0,0.0905243616825505,232559979.0270753,33323065.03541533,181348475.89809093,33323065.03541533
15,784943.3097231167,3.545,143061501.66171283,107.0,0.0905243616825505,185691009.3341934,143061501.66171283,292812160.95811415,47235628.290931016
16,185128139.0856408,11.397,22600443.219575018,134.0,0.0043054942146459,87242419.5314648,22600443.219575018,22600443.219575018,256678100.51166594
17,473928.0360592402,5.703,51835878.943979405,93.0,0.0098749867308392,232559979.0270753,51835878.943979405,51835878.943979405,51835878.943979405
18,16291276.239536384,10.462,1010059126.8512558,99.0,0.1924211700123535,182565449.76427466,1010059126.8512558,314448339.12642395,256678100.51166594
19,88861506.76110755,13.992,664980275.5956215,172.0,0.1618251741603445,75051078.40614595,226523009.74717316,254520568.20740986,230629948.2552576
20,133292260.14166132,10.98,184474044.34462333,121.0,0.1618251741603445,232559979.0270753,184474044.34462333,177676943.41084284,256678100.51166594
21,29620502.25370252,9.113,44430753.380553775,111.0,0.0084642743407193,185691009.3341934,47997919.53603217,29587165.36611445,44430753.380553775
22,9230422.72072443,9.159,513114271.4194032,99.0,0.3588750375702009,75051078.40614595,513114271.4194032,513114271.4194032,513114271.4194032
23,1065048.7754682037,5.658,107924942.58077794,97.0,0.3588750375702009,106972830.34683679,107924942.58077794,107924942.58077794,107924942.58077794
24,17750812.924470056,18.979,87681240.99082115,98.0,0.3588750375702009,203966349.12633517,70547875.53770092,87545482.63211773,98355794.20383984
25,28401300.67915209,12.958,86067429.38395555,100.0,0.3588750375702009,232559979.0270753,54753962.234122016,77410438.48631816,54753962.234122016
26,28401300.67915209,17.593,255441298.3082939,102.0,0.3588750375702009,185691009.3341934,159200960.7812402,161303831.8679356,304200174.6119193
27,1775081.2924470056,10.842,19656540.20004116,85.0,0.3588750375702009,185691009.3341934,19656540.20004116,19656540.20004116,96381379.01896885
28,12780585.30561844,15.471,292240558.28428894,104.0,0.3588750375702009,87242419.5314648,149509001.58499005,424590298.4584568,292240558.28428894
29,142006503.39576045,15.478,127095820.5392056,117.0,0.2505232796514554,87242419.5314648,127095820.5392056,127095820.5392056,188892286.61772963
